train_acc,train_loss,val_acc,val_loss
0.06747368421052632,4.168915,0.09720000000000001,3.8189476
0.15347368421052632,3.5371683,0.1824,3.3349655
0.23686315789473683,3.0462453,0.24240000000000003,3.1006515
0.3036421052631579,2.7059746,0.29600000000000004,2.7116733
0.3536,2.4544952,0.35,2.5138707
0.39277894736842106,2.2746372,0.3768,2.3181179
0.4231368421052632,2.1305552,0.35719999999999996,2.4961262
0.4471157894736842,2.0238378,0.43360000000000004,2.1090913
0.46884210526315795,1.9264448,0.412,2.258682
0.4872842105263159,1.8447101,0.4628000000000001,2.066463
0.5061263157894736,1.7760638,0.46360000000000007,1.9788693
0.5181473684210527,1.7159332,0.4764,1.9811674
0.5319368421052632,1.6614274,0.46159999999999995,2.021782
0.5454947368421053,1.6110799,0.486,1.8985285
0.5557473684210527,1.5624427,0.5047999999999999,1.8513108
0.5678315789473685,1.5224856,0.516,1.7910752
0.5750315789473683,1.481727,0.5216,1.7585961
0.5834526315789473,1.4413441,0.524,1.7548568
0.5925263157894738,1.4122777,0.5172,1.7725005
0.6029473684210526,1.3744761,0.5307999999999999,1.7380124
0.6086736842105264,1.3474019,0.5408,1.7151414
0.6150736842105262,1.3168598,0.5144000000000001,1.7999048
0.6247157894736842,1.2870914,0.544,1.6905246
0.6317263157894738,1.264984,0.5552,1.5933311
0.6372631578947369,1.2395563,0.5672,1.6423311
0.642042105263158,1.2144469,0.57,1.6055954
0.6502105263157896,1.1849008,0.5556,1.6535809
0.6552,1.1656575,0.56,1.6321898
0.6594526315789474,1.1441764,0.5752,1.5694791
0.6669894736842105,1.1216805,0.5728,1.6232748
0.6722947368421052,1.1062547,0.5695999999999999,1.6686734
0.6787157894736842,1.0777423,0.5492,1.6857772
0.6822526315789474,1.0672263,0.5684,1.6530223
0.6876421052631578,1.04255,0.5804,1.5954443
0.6925473684210526,1.0238637,0.5832,1.584084
0.6962315789473684,1.0088321,0.5728,1.6250764
0.7017473684210526,0.9906189,0.5796,1.6077687
0.7029052631578947,0.97960895,0.57,1.6373875
0.7120842105263158,0.9600189,0.5864,1.5984557
0.7130105263157895,0.9414369,0.5944,1.5708104
0.7194947368421053,0.9210656,0.5783999999999999,1.6660063
0.7224842105263158,0.91222864,0.6,1.562844
0.7261894736842106,0.8938272,0.584,1.6666815
0.7296842105263158,0.88044435,0.5776,1.6368484
0.7346105263157896,0.8671753,0.5864,1.5861222
0.7393684210526316,0.8479141,0.5992000000000001,1.5207226
0.7447368421052631,0.8333113,0.6052,1.6483449
0.7455368421052632,0.8205456,0.5955999999999999,1.58087
0.7503368421052632,0.81227016,0.5992,1.5978006
0.7543578947368421,0.7930695,0.5895999999999999,1.6096654
0.7559368421052631,0.77970326,0.6068,1.5255008
0.761684210526316,0.7695939,0.6012,1.5619514
0.7640631578947369,0.754652,0.6024,1.615937
0.7713894736842105,0.73720723,0.5996,1.6188254
0.7736000000000001,0.72914433,0.6052,1.6107593
0.7773473684210527,0.72030115,0.604,1.6677408
0.7803578947368421,0.7054483,0.6024,1.6078601
0.7809473684210526,0.7005971,0.6064,1.6272751
0.7858947368421053,0.6886227,0.6172,1.5836891
0.790378947368421,0.67043126,0.6128,1.599815
0.7923157894736843,0.66326225,0.6152000000000001,1.5991981
0.7984842105263158,0.6463988,0.6140000000000001,1.6025672
0.7986736842105263,0.63814014,0.6072,1.6191498
0.8041263157894737,0.62632555,0.6148,1.6247702
0.8067368421052633,0.6196164,0.6168,1.6267549
0.8078526315789474,0.6113278,0.6192,1.6322844
0.8133473684210527,0.59617007,0.6176,1.6429584
0.8127368421052632,0.59189606,0.6127999999999999,1.6429273
0.8176842105263158,0.57945156,0.6112,1.6603111
0.8169684210526315,0.5769601,0.6152000000000001,1.6652337
0.8241263157894737,0.5633437,0.616,1.680728
0.8239578947368421,0.55732006,0.6224,1.6431087
0.8268631578947369,0.55074054,0.6144,1.6813108
0.8288,0.5409626,0.6232,1.677669
0.8338526315789473,0.53253096,0.6232,1.6673299
0.8332631578947367,0.5256901,0.6175999999999999,1.6757993
0.8361052631578947,0.5205284,0.6140000000000001,1.679052
0.8385473684210526,0.51035535,0.6236,1.6813415
0.839115789473684,0.5065351,0.6167999999999999,1.6630245
0.8411578947368421,0.49932897,0.6259999999999999,1.6890503
0.8425263157894738,0.49900892,0.6188,1.7001034
0.8443157894736844,0.48922452,0.62,1.7051865
0.8444842105263157,0.48995596,0.6152,1.7056918
0.8499157894736843,0.4750341,0.616,1.7102276
0.8485684210526315,0.4796131,0.618,1.696933
0.8510105263157896,0.46639422,0.6184,1.7127322
0.8553473684210525,0.4615233,0.6208,1.7019693
0.8554947368421053,0.46320498,0.6240000000000001,1.6969845
0.853178947368421,0.4613165,0.626,1.7027888
0.8550105263157894,0.45715654,0.6252,1.7107031
0.8592210526315789,0.45054036,0.6272,1.7086815
0.8592842105263159,0.45275104,0.6287999999999999,1.7030509
0.8601052631578947,0.44539797,0.6268,1.7207946
0.8601473684210527,0.44653392,0.6232,1.7261057
0.8590105263157894,0.4445797,0.6272,1.7350867
0.8620631578947369,0.44419762,0.6244,1.7185969
0.8609684210526316,0.444043,0.6188,1.7260982
0.8619157894736842,0.43989033,0.6252,1.7188863
0.8618736842105262,0.4385725,0.622,1.7326411
0.8626105263157895,0.43705127,0.6232,1.7245164
